sell_type,cust_type,prod_group_type,prod_type,time_type,model,rmse,scenario,smoothing
sell_in,all,g3,마,W,ar,40449,s1,True
sell_in,all,g3,마,W,ses,43324,s1,True
sell_in,all,g3,마,W,hw,45808,s1,True
sell_in,all,all,가,W,arma,13993,s1,True
sell_in,all,all,가,W,arima,14241,s1,True
sell_in,all,all,가,W,ar,14833,s1,True
sell_in,all,all,가,W,ses,15477,s1,True
sell_in,all,all,가,W,hw,20169,s1,True
sell_in,all,all,다,W,arma,22118,s1,True
sell_in,all,all,다,W,arima,23191,s1,True
sell_in,all,all,다,W,ar,23394,s1,True
sell_in,all,all,다,W,ses,27411,s1,True
sell_in,all,all,다,W,hw,33647,s1,True
sell_in,all,all,나,W,ses,6103,s1,True
sell_in,all,all,나,W,arima,6109,s1,True
sell_in,all,all,나,W,ar,6352,s1,True
sell_in,all,all,나,W,arma,6611,s1,True
sell_in,all,all,나,W,hw,8982,s1,True
sell_in,all,all,라,W,arma,1625,s1,True
sell_in,all,all,라,W,arima,1654,s1,True
sell_in,all,all,라,W,ar,1832,s1,True
sell_in,all,all,라,W,ses,1955,s1,True
sell_in,all,all,라,W,hw,2177,s1,True
sell_in,all,all,마,W,arma,39459,s1,True
sell_in,all,all,마,W,arima,40177,s1,True
sell_in,all,all,마,W,ar,40449,s1,True
sell_in,all,all,마,W,ses,43324,s1,True
sell_in,all,all,마,W,hw,45808,s1,True
sell_in,all,all,all,W,arma,55936,s1,True
sell_in,all,all,all,W,arima,57023,s1,True
sell_in,all,all,all,W,ar,61099,s1,True
sell_in,all,all,all,W,ses,64429,s1,True
sell_in,all,all,all,W,hw,72035,s1,True
sell_out,A,g3,바,W,ar,2739,s1,True
sell_out,A,g3,바,W,arma,2872,s1,True
sell_out,A,g3,바,W,arima,2907,s1,True
sell_out,A,g3,바,W,ses,3199,s1,True
sell_out,A,g3,바,W,hw,3434,s1,True
sell_out,A,g1,가,W,arima,1721,s1,True
sell_out,A,g1,가,W,arma,1722,s1,True
sell_out,A,g1,가,W,ar,1794,s1,True
sell_out,A,g1,가,W,ses,1936,s1,True
sell_out,A,g1,가,W,hw,2098,s1,True
sell_out,A,g2,다,W,arma,16793,s1,True
sell_out,A,g2,다,W,arima,16834,s1,True
sell_out,A,g2,다,W,ar,17032,s1,True
sell_out,A,g2,다,W,ses,20999,s1,True
sell_out,A,g2,다,W,hw,21966,s1,True
sell_out,A,all,바,W,ar,2739,s1,True
sell_out,A,all,바,W,arma,2872,s1,True
sell_out,A,all,바,W,arima,2907,s1,True
sell_out,A,all,바,W,ses,3199,s1,True
sell_out,A,all,바,W,hw,3434,s1,True
sell_out,A,all,가,W,arima,1721,s1,True
sell_out,A,all,가,W,arma,1722,s1,True
sell_out,A,all,가,W,ar,1794,s1,True
sell_out,A,all,가,W,ses,1936,s1,True
sell_out,A,all,가,W,hw,2098,s1,True
sell_out,A,all,다,W,arma,16793,s1,True
sell_out,A,all,다,W,arima,16834,s1,True
sell_out,A,all,다,W,ar,17032,s1,True
sell_out,A,all,다,W,ses,20999,s1,True
sell_out,A,all,다,W,hw,21966,s1,True
sell_out,A,all,all,W,ar,16032,s1,True
sell_out,A,all,all,W,arima,16565,s1,True
sell_out,A,all,all,W,arma,17257,s1,True
sell_out,A,all,all,W,ses,18937,s1,True
sell_out,A,all,all,W,hw,22753,s1,True
sell_out,B,g3,바,W,ar,771,s1,True
sell_out,B,g3,바,W,ses,806,s1,True
sell_out,B,g3,바,W,hw,954,s1,True
sell_out,B,g3,바,W,arima,1119,s1,True
sell_out,B,g3,바,W,arma,1169,s1,True
sell_out,B,g1,나,W,arma,3685,s1,True
sell_out,B,g1,나,W,arima,3704,s1,True
sell_out,B,g1,나,W,ses,3727,s1,True
sell_out,B,g1,나,W,ar,4234,s1,True
sell_out,B,g1,나,W,hw,4423,s1,True
sell_out,B,g2,라,W,arma,1242,s1,True
sell_out,B,g2,라,W,arima,1260,s1,True
sell_out,B,g2,라,W,ar,1313,s1,True
sell_out,B,g2,라,W,ses,1406,s1,True
sell_out,B,g2,라,W,hw,1649,s1,True
sell_out,B,all,바,W,ar,771,s1,True
sell_out,B,all,바,W,ses,806,s1,True
sell_out,B,all,바,W,hw,954,s1,True
sell_out,B,all,바,W,arima,1119,s1,True
sell_out,B,all,바,W,arma,1169,s1,True
sell_out,B,all,나,W,arma,3685,s1,True
sell_out,B,all,나,W,arima,3704,s1,True
sell_out,B,all,나,W,ses,3727,s1,True
sell_out,B,all,나,W,ar,4234,s1,True
sell_out,B,all,나,W,hw,4423,s1,True
sell_out,B,all,라,W,arma,1242,s1,True
sell_out,B,all,라,W,arima,1260,s1,True
sell_out,B,all,라,W,ar,1313,s1,True
sell_out,B,all,라,W,ses,1406,s1,True
sell_out,B,all,라,W,hw,1649,s1,True
sell_out,B,all,all,W,ar,3911,s1,True
sell_out,B,all,all,W,ses,4081,s1,True
sell_out,B,all,all,W,arma,4406,s1,True
sell_out,B,all,all,W,hw,4489,s1,True
sell_out,B,all,all,W,arima,4491,s1,True
sell_out,C,g3,바,W,ses,724,s1,True
sell_out,C,g3,바,W,ar,730,s1,True
sell_out,C,g3,바,W,arima,888,s1,True
sell_out,C,g3,바,W,hw,920,s1,True
sell_out,C,g3,바,W,arma,1203,s1,True
sell_out,C,g3,마,W,ses,46832,s1,True
sell_out,C,g3,마,W,arima,48141,s1,True
sell_out,C,g3,마,W,ar,48176,s1,True
sell_out,C,g3,마,W,hw,51781,s1,True
sell_out,C,g3,마,W,arma,52096,s1,True
sell_out,C,g3,all,W,ses,46969,s1,True
sell_out,C,g3,all,W,arima,48432,s1,True
sell_out,C,g3,all,W,ar,48440,s1,True
sell_out,C,g3,all,W,arma,52714,s1,True
sell_out,C,g3,all,W,hw,65500,s1,True
sell_out,C,g1,나,W,ses,1335,s1,True
sell_out,C,g1,나,W,hw,1465,s1,True
sell_out,C,g1,나,W,ar,1844,s1,True
sell_out,C,g1,나,W,arma,2652,s1,True
sell_out,C,g1,나,W,arima,2689,s1,True
sell_out,C,all,바,W,ses,724,s1,True
sell_out,C,all,바,W,ar,730,s1,True
sell_out,C,all,바,W,arima,888,s1,True
sell_out,C,all,바,W,hw,920,s1,True
sell_out,C,all,바,W,arma,1203,s1,True
sell_out,C,all,나,W,ses,1335,s1,True
sell_out,C,all,나,W,hw,1465,s1,True
sell_out,C,all,나,W,ar,1844,s1,True
sell_out,C,all,나,W,arma,2652,s1,True
sell_out,C,all,나,W,arima,2689,s1,True
sell_out,C,all,마,W,ses,46832,s1,True
sell_out,C,all,마,W,arima,48141,s1,True
sell_out,C,all,마,W,ar,48176,s1,True
sell_out,C,all,마,W,hw,51781,s1,True
sell_out,C,all,마,W,arma,52096,s1,True
sell_out,C,all,all,W,ses,47146,s1,True
sell_out,C,all,all,W,ar,48129,s1,True
sell_out,C,all,all,W,arima,49044,s1,True
sell_out,C,all,all,W,hw,51827,s1,True
sell_out,C,all,all,W,arma,54347,s1,True
sell_out,all,g3,바,W,ar,3406,s1,True
sell_out,all,g3,바,W,arima,3753,s1,True
sell_out,all,g3,바,W,ses,3913,s1,True
sell_out,all,g3,바,W,arma,4115,s1,True
sell_out,all,g3,바,W,hw,4306,s1,True
sell_out,all,g3,마,W,ses,46832,s1,True
sell_out,all,g3,마,W,arima,48141,s1,True
sell_out,all,g3,마,W,ar,48176,s1,True
sell_out,all,g3,마,W,hw,51781,s1,True
sell_out,all,g3,마,W,arma,52096,s1,True
sell_out,all,g3,all,W,ses,46520,s1,True
sell_out,all,g3,all,W,ar,47745,s1,True
sell_out,all,g3,all,W,arima,48560,s1,True
sell_out,all,g3,all,W,hw,52177,s1,True
sell_out,all,g3,all,W,arma,54060,s1,True
sell_out,all,g1,가,W,arima,1721,s1,True
sell_out,all,g1,가,W,arma,1722,s1,True
sell_out,all,g1,가,W,ar,1794,s1,True
sell_out,all,g1,가,W,ses,1936,s1,True
sell_out,all,g1,가,W,hw,2098,s1,True
sell_out,all,g1,나,W,ses,4374,s1,True
sell_out,all,g1,나,W,hw,4801,s1,True
sell_out,all,g1,나,W,arma,5491,s1,True
sell_out,all,g1,나,W,arima,5612,s1,True
sell_out,all,g1,나,W,ar,5717,s1,True
sell_out,all,g1,all,W,ses,5141,s1,True
sell_out,all,g1,all,W,hw,5384,s1,True
sell_out,all,g1,all,W,ar,6452,s1,True
sell_out,all,g1,all,W,arma,6644,s1,True
sell_out,all,g1,all,W,arima,6794,s1,True
sell_out,all,g2,다,W,arma,16793,s1,True
sell_out,all,g2,다,W,arima,16834,s1,True
sell_out,all,g2,다,W,ar,17032,s1,True
sell_out,all,g2,다,W,ses,20999,s1,True
sell_out,all,g2,다,W,hw,21966,s1,True
sell_out,all,g2,라,W,arma,1242,s1,True
sell_out,all,g2,라,W,arima,1260,s1,True
sell_out,all,g2,라,W,ar,1313,s1,True
sell_out,all,g2,라,W,ses,1406,s1,True
sell_out,all,g2,라,W,hw,1649,s1,True
sell_out,all,g2,all,W,arma,17365,s1,True
sell_out,all,g2,all,W,arima,17442,s1,True
sell_out,all,g2,all,W,ar,17798,s1,True
sell_out,all,g2,all,W,ses,21833,s1,True
sell_out,all,g2,all,W,hw,22589,s1,True
sell_out,all,all,바,W,ar,3406,s1,True
sell_out,all,all,바,W,arima,3753,s1,True
sell_out,all,all,바,W,ses,3913,s1,True
sell_out,all,all,바,W,arma,4115,s1,True
sell_out,all,all,바,W,hw,4306,s1,True
sell_out,all,all,가,W,arima,1721,s1,True
sell_out,all,all,가,W,arma,1722,s1,True
sell_out,all,all,가,W,ar,1794,s1,True
sell_out,all,all,가,W,ses,1936,s1,True
sell_out,all,all,가,W,hw,2098,s1,True
sell_out,all,all,다,W,arma,16793,s1,True
sell_out,all,all,다,W,arima,16834,s1,True
sell_out,all,all,다,W,ar,17032,s1,True
sell_out,all,all,다,W,ses,20999,s1,True
sell_out,all,all,다,W,hw,21966,s1,True
sell_out,all,all,나,W,ses,4374,s1,True
sell_out,all,all,나,W,hw,4801,s1,True
sell_out,all,all,나,W,arma,5491,s1,True
sell_out,all,all,나,W,arima,5612,s1,True
sell_out,all,all,나,W,ar,5717,s1,True
sell_out,all,all,라,W,arma,1242,s1,True
sell_out,all,all,라,W,arima,1260,s1,True
sell_out,all,all,라,W,ar,1313,s1,True
sell_out,all,all,라,W,ses,1406,s1,True
sell_out,all,all,라,W,hw,1649,s1,True
sell_out,all,all,마,W,ses,46832,s1,True
sell_out,all,all,마,W,arima,48141,s1,True
sell_out,all,all,마,W,ar,48176,s1,True
sell_out,all,all,마,W,hw,51781,s1,True
sell_out,all,all,마,W,arma,52096,s1,True
sell_out,all,all,all,W,ar,58732,s1,True
sell_out,all,all,all,W,ses,62417,s1,True
sell_out,all,all,all,W,arima,62668,s1,True
sell_out,all,all,all,W,hw,65504,s1,True
sell_out,all,all,all,W,arma,70424,s1,True
